FEED URL	TAGS STRING	FEED DESCRIPTION	ABOUT PAGE	COMPANY GAME
http://www.jp.square-enix.com/whatsnew/whatsnew.rdf	"squareenix","thirdparty","publisher","worldwide","pr","japanese only"	Official News Feed of Square Enix JP	http://www.hd.square-enix.com/eng/company/group.html	Final Fantasy series
twitter://Square_Enix_EU	"squareenix","thirdparty","publisher","worldwide","pr","generic"	Official Twitter Account of Square Enix UK	http://www.hd.square-enix.com/eng/company/group.html	Final Fantasy series
youtube://UKSquareEnix 	"squareenix","thirdparty","publisher","worldwide","pr","generic"	Official Youtube Channel of Square Enix UK	http://www.hd.square-enix.com/eng/company/group.html	Final Fantasy series
facebook://43877163537	"starbreeze","independent","studio","europe","pr","generic"	Official Facebook Page of Starbreeze	http://www.starbreeze.com/company/	Syndicate
http://www.starbreeze.com/feed/	"starbreeze","independent","studio","europe","pr","generic"	Official News Feed of Starbreeze	http://www.starbreeze.com/company/	Syndicate
twitter://StarbreezeAB	"starbreeze","independent","studio","europe","pr","generic"	Official Twitter Account of Starbreeze	http://www.starbreeze.com/company/	Syndicate
facebook://136320256391932	"suckerpunch","sony","studio","america","pr","generic"	Official Facebook Page of Sucker Punch	https://twitter.com/SuckerPunchProd	Infamous series
http://feeds.feedburner.com/SuckerPunchProductions	"suckerpunch","sony","studio","america","pr","generic"	Official News Feed of Sucker Punch	https://twitter.com/SuckerPunchProd	Infamous series
twitter://SuckerPunchProd	"suckerpunch","sony","studio","america","pr","generic"	Official Twitter Account of Sucker Punch	https://twitter.com/SuckerPunchProd	Infamous series
twitter://the1console	"superbrothers","indie","studio","america","pr","experimental"	Official Twitter Account of Superbrothers	http://superbrothers.ca/index.html	Sword And Sworcery EP
facebook://311994162559	"supergiant","indie","studio","america","pr","generic"	Official Facebook Page of Supergiant	http://supergiantgames.com/?page_id=2	Bastion
http://supergiantgames.com/?feed=rss2	"supergiant","indie","studio","america","pr","generic"	Official News Feed of Supergiant	http://supergiantgames.com/?page_id=2	Bastion
facebook://79769122483	"supervillain","indie","studio","america","pr","generic"	Official Facebook Page of Super Villain Studios	http://www.facebook.com/SuperVillainStudios/info	Fat Princess
http://www.svsgames.com/?feed=rss2	"supervillain","indie","studio","america","pr","generic"	Official News Feed of Super Villain Studios	http://www.facebook.com/SuperVillainStudios/info	Fat Princess
twitter://SVSGames	"supervillain","indie","studio","america","pr","generic"	Official Twitter Account of Super Villain Studios	http://www.facebook.com/SuperVillainStudios/info	Fat Princess
youtube://SuperVillainStudios	"supervillain","indie","studio","america","pr","generic"	Official Youtube Channel of Super Villain Studios	http://www.facebook.com/SuperVillainStudios/info	Fat Princess
twitter://TaitoCorp	"taito","thirdparty","publisher","worldwide","pr","generic"	Official Twitter Account of Taito	http://www.taito.com/company/info/profile.html	
youtube://TaitoCorp	"taito","thirdparty","publisher","worldwide","pr","generic"	Official Youtube Channel of Taito	http://www.taito.com/company/info/profile.html	
facebook://49725656617	"taleoftales","indie","studio","europe","pr","experimental"	Official Facebook Page of Tale of Tales	http://www.tale-of-tales.com/	The Path
flickr://81482434@N00	"taleoftales","indie","studio","europe","pr","experimental"	Official Flickr Account of Tale of Tales	http://www.tale-of-tales.com/	The Path
twitter://taleoftales	"taleoftales","indie","studio","europe","pr","experimental"	Official Twitter Account of Tale of Tales	http://www.tale-of-tales.com/	The Path
facebook://172159299466336	"tangogameworks","thirdparty","studio","japan","pr","generic"	Official Facebook Page of Tango Gameworks	http://www.tangogameworks.com/studio/info	
http://www.tangogameworks.com/index/rss.xml	"tangogameworks","thirdparty","studio","japan","pr","generic"	Official News Feed of Tango Gameworks	http://www.tangogameworks.com/studio/info	
